Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0805,4,100n,C38141
D1,0805,1,LED,C391863
"H1, H2",MountingHole_3.2mm_M3_Pad_Via,2,MountingHole,
J1,JST_PH_B8B-PH-SM4-TB_1x08-1MP_P2.00mm_Vertical,1,Conn_01x06_Socket,
Q101,SOT-523,1,DMG1012T,C20512
"R1, R11, R13, R15, R17, R19, R22, R24, R3, R5, R7, R9",0805,12,100,C17408
"R10, R12, R14, R16, R18, R2, R20, R21, R23, R25, R4, R6, R8",0805,13,10k,C17414
"R101, R26",0805,2,1k,C17513
"U1, U10, U12, U13, U2, U3, U4, U5, U6, U7, U8, U9",ITR8307_S18_TR8_B,12,ITR8307,C115037
U11,TSSOP-24_4.4x7.8mm_P0.65mm,1,74HC4067PW,C179326
